from	to
239125_at	ENSG00000224281
233396_s_at	ENSG00000232838
225432_s_at	ENSG00000232838
228543_at	ENSG00000232838
227316_at	ENSG00000232838
228544_s_at	ENSG00000232838
228972_at	ENSG00000236618
1561319_at	ENSG00000248550
232964_at	ENSG00000173678
37796_at	ENSG00000205307
204692_at	ENSG00000205307
231138_at	ENSG00000204025
1562916_at	ENSG00000230542
203975_s_at	ENSG00000167670
203976_s_at	ENSG00000167670
229808_at	ENSG00000167670
214426_x_at	ENSG00000167670
1562943_at	ENSG00000235914
222947_at	ENSG00000186019
232478_at	ENSG00000224020
1560378_at	ENSG00000156273
210818_s_at	ENSG00000156273
1553607_at	ENSG00000156273
1552401_a_at	ENSG00000156273
214086_s_at	ENSG00000129484
215773_x_at	ENSG00000129484
204752_x_at	ENSG00000129484
1565866_a_at	ENSG00000257315
243648_at	ENSG00000257315
209940_at	ENSG00000041880
205532_s_at	ENSG00000113361
232631_at	ENSG00000113361
210602_s_at	ENSG00000113361
205533_s_at	ENSG00000113361
210601_at	ENSG00000113361
214803_at	ENSG00000113361
240261_at	ENSG00000141198
204485_s_at	ENSG00000141198
216473_x_at	ENSG00000281591
208201_at	ENSG00000281591
212596_s_at	ENSG00000100281
212597_s_at	ENSG00000100281
239051_at	ENSG00000235618
230432_at	ENSG00000235142
235774_at	ENSG00000235142
228609_at	ENSG00000283921
211692_s_at	ENSG00000284411
228609_at	ENSG00000284557
1561497_at	ENSG00000266291
1561497_at	ENSG00000265537
211921_x_at	ENSG00000283429
200772_x_at	ENSG00000283429
216384_x_at	ENSG00000283429
216515_x_at	ENSG00000283429
200772_x_at	ENSG00000283498
216384_x_at	ENSG00000283498
211921_x_at	ENSG00000283498
211692_s_at	ENSG00000265134
228609_at	ENSG00000283801
202681_at	ENSG00000264633
241817_at	ENSG00000264633
1561497_at	ENSG00000265373
212700_x_at	ENSG00000284172
1556755_s_at	ENSG00000283522
230845_at	ENSG00000263602
212700_x_at	ENSG00000284055
206516_at	ENSG00000284272
1562383_at	ENSG00000284385
1561963_at	ENSG00000264572
217235_x_at	ENSG00000254709
202807_s_at	ENSG00000100284
215639_at	ENSG00000095370
1552667_a_at	ENSG00000095370
226673_at	ENSG00000095370
222169_x_at	ENSG00000125731
219513_s_at	ENSG00000125731
205088_at	ENSG00000013619
220627_at	ENSG00000125815
243108_at	ENSG00000010017
202582_s_at	ENSG00000010017
202583_s_at	ENSG00000010017
216125_s_at	ENSG00000010017
209015_s_at	ENSG00000105993
208810_at	ENSG00000105993
208811_s_at	ENSG00000105993
243687_at	ENSG00000241135
1569755_at	ENSG00000230448
215009_s_at	ENSG00000251022
229628_s_at	ENSG00000197816
229627_at	ENSG00000197816
1554700_at	ENSG00000081138
220679_s_at	ENSG00000081138
207051_at	ENSG00000146039
1565925_at	ENSG00000146039
200689_x_at	ENSG00000284135
211345_x_at	ENSG00000284135
211927_x_at	ENSG00000284135
217714_x_at	ENSG00000283938
244504_x_at	ENSG00000284163
200065_s_at	ENSG00000284163
208750_s_at	ENSG00000284163
1559986_at	ENSG00000265304
209825_s_at	ENSG00000283936
225722_at	ENSG00000283936
200599_s_at	ENSG00000284503
200598_s_at	ENSG00000284503
217544_at	ENSG00000283881
229926_at	ENSG00000265452
239130_at	ENSG00000265996
224448_s_at	ENSG00000266509
228192_at	ENSG00000266509
1556755_s_at	ENSG00000284147
1560207_at	ENSG00000283956
204030_s_at	ENSG00000283154
237344_at	ENSG00000267712
231203_at	ENSG00000230601
230132_at	ENSG00000267107
235171_at	ENSG00000167912
231333_at	ENSG00000234265
233021_at	ENSG00000227354
1568807_a_at	ENSG00000227354
231485_at	ENSG00000234855
240685_at	ENSG00000248809
237274_at	ENSG00000223715
238055_at	ENSG00000267040
241534_at	ENSG00000267040
1564331_at	ENSG00000196605
231419_at	ENSG00000196605
1569157_s_at	ENSG00000196605
1569156_at	ENSG00000196605
225567_at	ENSG00000259330
231431_s_at	ENSG00000259330
238360_s_at	ENSG00000263874
1561984_at	ENSG00000261683
203055_s_at	ENSG00000076928
242465_at	ENSG00000266835
230545_at	ENSG00000226386
1558497_a_at	ENSG00000241696
1558496_at	ENSG00000241696
231627_at	ENSG00000260268
1553438_at	ENSG00000184224
243961_at	ENSG00000254887
1556670_at	ENSG00000234945
1556671_s_at	ENSG00000234945
238901_at	ENSG00000224259
239370_at	ENSG00000224259
1561979_at	ENSG00000235033
224644_at	ENSG00000225733
1561546_at	ENSG00000225733
242518_at	ENSG00000245849
1560081_at	ENSG00000245849
1557865_at	ENSG00000246422
230978_at	ENSG00000253138
