Gene,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
IL1A,0.0710976518572101,0.06341711775177666,0.039933999492029915,0.035381277564228035,0.017903899364575156,0.029667739076511414,0.06395958333918082,0.03940133841675397,0.06211503029068922,0.03681407371076194
CCL20,0.16680059621452117,0.2374281522685487,0.2543222862529263,0.1721125884934646,0.2549440320891402,0.24963783617687862,0.1679671148737469,0.1806363049548184,0.18334777594142013,0.24618653214453104
FAHD2A,0.26730712035015386,0.2469967342010202,0.2563635325024775,0.2523348433257437,0.25764918698454586,0.2625124084125845,0.2533761428025077,0.2537422777281941,0.2187378048693881,0.2696116688145918
TFCP2L1,0.02009765471532239,0.058498958421602326,0.05838235355684178,0.031014505394255827,0.051611382122841144,0.028081976426550432,0.02597078456234245,0.04561720019407256,0.052655039920940006,0.03412479860393071
TP53I3,0.3040650850409174,0.3026803654740362,0.34369484495086483,0.3010834661394508,0.33901118004484426,0.33051157738327064,0.27658817758188753,0.29706329030701306,0.26593100901248,0.32475097810793063
STAM2,0.3705232241944378,0.3101771006847013,0.3117059541912819,0.3044269403483581,0.27539690058230604,0.2679325850459268,0.33805322966902757,0.311429143235305,0.3032429351068088,0.26705346819064973
ACVR1,0.38486506643606117,0.24585344115780405,0.31533182222933787,0.3099032165925282,0.2731175683089088,0.2735719204019714,0.2801546659941332,0.3087759945211136,0.26106392937856504,0.2885978898469391
TANC1,0.16113950282632397,0.18445783744308336,0.14467178914331463,0.17088993809907396,0.1755542001360811,0.18017955484614995,0.1594381311263629,0.17304382086197628,0.15297689458578798,0.18053222514803285
ITGB6,0.11076905526571018,0.21054687145987094,0.24865791283139665,0.18150325466572187,0.23002403161070295,0.220490849667547,0.13631678583165596,0.1645297549711932,0.153851938989766,0.24443039119074503
FNDC4,0.13220772867679445,0.15081244110790054,0.17868985476925614,0.15125636460799258,0.16581187534026273,0.1563606103544569,0.1293085207130245,0.1428668141250827,0.11302581729405209,0.1660338125494526
ITGA4,0.08522967980167069,0.039911180836803783,0.04452458782335155,0.05410612658850568,0.035890565187734674,0.048927409865387725,0.05026086489306204,0.056965885479868014,0.04238780087212975,0.059731081846791344
PDE1A,0.22294719044817796,0.035853933865039433,0.06349607998263607,0.0953163914327644,0.04497272318553321,0.05646968824469955,0.07397767891554703,0.1048217492250307,0.020620968872502924,0.08611341181032763
REEP6,0.1455678423651123,0.15512433843343265,0.14200398541019477,0.08807315593955725,0.1632968600868417,0.16474880153201324,0.12148378205904296,0.11795801040237046,0.13313025237979714,0.13571855486507306
IFIH1,0.0917509544578755,0.14500408447827667,0.17679018224018916,0.17579925867355053,0.1831369260822761,0.18075478777493442,0.16452135780042557,0.15153520157663813,0.13138480481949866,0.18817523721577786
TTC31,0.40878822122949027,0.3124064153603055,0.22351100529099657,0.21838426172014164,0.1612513272935459,0.19981057198878727,0.334350612922984,0.24467915514229657,0.3256460467652984,0.2067757445798897
GRB14,0.08236379940545477,0.09948150743906592,0.11597050222608396,0.11707616153522077,0.1201699366978265,0.11522604340523805,0.08913658347719779,0.09757247170517215,0.11047689321393399,0.11663497912459493
CLIP4,0.2805135219646434,0.27771720296319913,0.26801074114484236,0.28786225585748004,0.26303055199220593,0.2590685699018962,0.28418860393982287,0.26653584910379524,0.29092338116156097,0.2838206117146121
SPTBN1,2.2564949004866435,2.5015495998771757,2.7118754930475744,2.3983625471136163,2.6048545270243784,2.4560743168326815,2.5361290027577734,2.419051169197916,2.1123885297961977,2.232280419173719
LOXL3,0.15414993947589292,0.04740896195265847,0.06545198918256295,0.0858655240856059,0.056941371079055676,0.058307484730105046,0.06797612642225792,0.08786023892613974,0.042723146765335236,0.07372182030610316
DOK1,0.30749078475824504,0.23330899187337328,0.1674699059034611,0.15646774931115753,0.10784840370432104,0.1376453087013992,0.26664065978042434,0.1828515758597066,0.2334276752546307,0.13874868940381677
EVA1A,0.16282298507461296,0.11907140964008112,0.13719367311170239,0.17487537972484596,0.1573996572138604,0.14173207954833966,0.14237757614886176,0.1422218808816773,0.12141988041269962,0.14747326486111134
LANCL1,0.17447731312468806,0.1686883571499204,0.21389385109070333,0.1794163497954644,0.18619779232178119,0.18599455625495243,0.15814635891628326,0.18331351584748826,0.16715380354572437,0.20380698177559048
EFEMP1,0.2534719624688482,0.1002418279211059,0.1567027801017596,0.1708664127978885,0.11750068313697884,0.1272693190889144,0.11672104127544784,0.16393421023436283,0.0633592459247879,0.18060377246580964
FANCL,0.14016832861628756,0.154851364722826,0.21024070487287316,0.179462780431655,0.17506945998244114,0.17821029279609868,0.15972861642411876,0.1741899030615925,0.18841104119447474,0.18080159806012774
FN1,6.748384058790622,1.2252991444274126,2.010135418469088,2.9168856527948366,1.504098258530445,1.8566467177583763,2.315667832901138,3.230179989367094,0.7484222636461505,2.7037475955053476
GLS,0.5995094188819674,0.7480522212879458,0.6832651109097906,1.2021119803558444,1.0302683435612934,0.9967345917571079,0.9883712331141393,0.8243805388462326,0.6419135120438213,1.1209582653660595
IGFBP2,1.7932068579180442,1.3208981918927678,0.8520291162191503,0.5912340377298765,1.5272408343081245,1.6073842848984237,1.3651850704233417,1.040271603387535,1.203615560470311,1.031679652413623
IGFBP5,3.55421069247795,0.6484128371230332,1.0761908731716987,1.5647245353485761,0.7929399812990293,0.9387887786929241,1.2350093203806565,1.7289907136202836,0.43106127033634084,1.3979072817273839
KCNJ13,0.02972254478817071,0.04118419967687171,0.05225671759021516,0.04257629150959394,0.04727675538768149,0.05029889496152142,0.03479579688658776,0.038582368141644126,0.03985023967231083,0.053109637116968436
EHBP1,0.32249350251929315,0.27574951449195545,0.34784589631340257,0.3420106070140408,0.32537028661553985,0.2955152203346395,0.28033723668119015,0.3033534043024964,0.35730122292853816,0.2744984682736265
