NAME,Description,NK.cells,endothelial.cells,fibroblasts,macrophages,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,others,regulatory.T.cells,monocytes
ENSG00000133110,POSTN,0.0,1.137,2.108,0.003,0.002,0.001,0.002,0.003,0.002,0.003,0.0,0.02,0.003,0.022000000000000002
ENSG00000133142,TCEAL4,0.209,2.03,2.827,0.508,0.218,0.16699999999999998,0.21100000000000002,0.363,0.235,0.141,0.177,0.231,0.198,0.0
ENSG00000133392,MYH11,0.027000000000000003,0.059000000000000004,1.412,0.008,0.043,0.035,0.034,0.025,0.027999999999999997,0.066,0.064,0.086,0.017,0.0
ENSG00000133636,NTS,0.013000000000000001,0.10800000000000001,0.004,0.006,0.009000000000000001,0.001,0.003,0.011000000000000001,0.011000000000000001,0.784,0.0,0.07,0.013000000000000001,0.0
ENSG00000133687,TMTC1,0.006999999999999999,1.041,0.282,0.008,0.002,0.003,0.002,0.002,0.0,0.003,0.0,0.005,0.001,0.003
ENSG00000133742,CA1,0.0,0.003,0.002,0.009000000000000001,0.001,0.002,0.002,0.002,0.0,0.0,0.0,0.196,0.003,0.023
ENSG00000133800,LYVE1,0.003,2.502,0.004,0.19,0.001,0.001,0.003,0.01,0.002,0.001,0.0,0.002,0.002,0.0
ENSG00000134028,ADAMDEC1,0.019,0.141,89.32,0.6679999999999999,0.055,0.075,0.105,0.11599999999999999,0.018000000000000002,0.037000000000000005,0.028999999999999998,0.061,0.052000000000000005,0.5760000000000001
ENSG00000134121,CHL1,0.004,0.005,0.8,0.001,0.026000000000000002,0.002,0.001,0.002,0.049,0.002,0.012,0.054000000000000006,0.0,0.001
ENSG00000134193,REG4,0.034,0.012,0.003,0.03,0.018000000000000002,0.037000000000000005,0.071,0.013000000000000001,0.022000000000000002,0.044000000000000004,0.235,1.732,0.028999999999999998,0.045
ENSG00000134201,GSTM5,0.0,0.003,0.5579999999999999,0.004,0.001,0.001,0.001,0.001,0.0,0.002,0.0,0.005,0.0,0.0
ENSG00000134215,VAV3,0.848,0.179,0.013000000000000001,0.08,0.135,0.083,0.188,0.098,0.34,0.066,0.03,0.062,0.7120000000000001,0.0
ENSG00000134245,WNT2B,0.021,0.09300000000000001,0.996,0.032,0.02,0.025,0.017,0.025,0.013999999999999999,0.021,0.011000000000000001,0.013999999999999999,0.01,0.018000000000000002
ENSG00000134321,RSAD2,0.06,0.10800000000000001,0.039,0.051,0.013000000000000001,0.042,0.05,0.019,0.013000000000000001,0.031,0.047,0.038,0.013999999999999999,0.084
ENSG00000134460,IL2RA,0.21100000000000002,0.019,0.021,0.369,0.105,0.429,0.18,0.19,0.051,0.127,0.0,0.09,1.761,0.13
ENSG00000134531,EMP1,0.011000000000000001,3.111,2.225,0.09699999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.015,0.006,0.013000000000000001,0.013999999999999999,0.151,0.023,0.262
ENSG00000134533,RERG,0.0,0.024,0.237,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.045,0.0,0.0
ENSG00000134539,KLRD1,19.268,0.095,0.095,0.08900000000000001,0.051,0.153,4.526,0.038,0.12,0.184,0.047,0.087,0.152,0.003
ENSG00000134545,KLRC1,6.212000000000001,0.02,0.016,0.037000000000000005,0.032,0.046,1.785,0.01,0.017,0.042,0.02,0.147,0.040999999999999995,0.0
ENSG00000134817,APLNR,0.0,1.609,0.01,0.001,0.003,0.001,0.004,0.006,0.002,0.001,0.0,0.004,0.001,0.003
ENSG00000134830,C5AR2,0.057,0.078,0.073,0.609,0.055999999999999994,0.045,0.054000000000000006,0.092,0.04,0.035,0.026000000000000002,0.024,0.039,0.0
ENSG00000134853,PDGFRA,0.0,0.008,3.4560000000000004,0.006,0.004,0.001,0.002,0.022000000000000002,0.0,0.004,0.0,0.003,0.0,0.015
ENSG00000134871,COL4A2,0.001,2.7769999999999997,1.696,0.033,0.011000000000000001,0.003,0.003,0.01,0.002,0.002,0.009000000000000001,0.121,0.002,0.02
ENSG00000135047,CTSL,0.001,1.124,1.4809999999999999,1.867,0.008,0.062,0.013999999999999999,0.065,0.008,0.145,0.046,0.061,0.035,2.1180000000000003
ENSG00000135077,HAVCR2,1.194,0.026000000000000002,0.009000000000000001,0.7140000000000001,0.040999999999999995,0.10099999999999999,0.166,1.879,0.044000000000000004,0.043,0.052000000000000005,0.054000000000000006,0.27699999999999997,0.539
ENSG00000135094,SDS,0.003,0.013999999999999999,0.013000000000000001,2.1519999999999997,0.004,0.005,0.009000000000000001,0.42700000000000005,0.0,0.0,0.028999999999999998,0.004,0.011000000000000001,1.3419999999999999
ENSG00000135114,OASL,0.064,0.025,0.02,0.122,0.006999999999999999,0.027999999999999997,0.085,0.028999999999999998,0.005,0.02,0.0,0.048,0.049,0.122
ENSG00000135127,CCDC64,0.12300000000000001,0.016,0.013999999999999999,0.033,0.042,0.344,0.425,0.033,0.045,0.22899999999999998,0.062,0.027000000000000003,0.34,0.001
ENSG00000135218,CD36,0.003,7.5729999999999995,0.048,1.126,0.016,0.018000000000000002,0.018000000000000002,0.28600000000000003,0.013999999999999999,0.012,0.0,0.12300000000000001,0.006999999999999999,1.6909999999999998
