NAME,NK.cells,endothelial.cells,fibroblasts,macrophages,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,others,regulatory.T.cells,monocytes
ENSG00000131471,0.008,0.08199999999999999,0.462,0.0,0.0,0.002,0.001,0.001,0.0,0.001,0.0,0.024,0.0,0.001
ENSG00000131477,0.004,10.739,0.163,0.051,0.008,0.013,0.013,0.019,0.006999999999999999,0.004,0.009000000000000001,0.025,0.013,0.013
ENSG00000131634,0.062,1.802,0.444,0.013,0.011,0.102,0.076,0.011,0.022,0.104,0.066,0.039,0.061,0.03
ENSG00000131669,0.526,0.417,0.5660000000000001,1.959,0.111,0.303,0.327,0.982,0.048,0.149,0.105,0.28,0.486,0.0
ENSG00000131711,0.006999999999999999,0.748,0.608,0.002,0.037000000000000005,0.002,0.006,0.003,0.003,0.001,0.0,0.131,0.002,0.001
ENSG00000131747,0.161,0.03,0.059,0.026,0.008,0.009000000000000001,0.015,0.141,0.01,0.006,0.01,0.166,0.023,0.684
ENSG00000131773,0.005,0.029,0.206,0.002,0.008,0.002,0.0,0.026,0.013,0.0,0.0,0.027000000000000003,0.005,0.0
ENSG00000131981,0.125,2.858,2.784,3.093,0.117,1.002,0.597,1.1840000000000002,0.105,0.195,0.08,3.96,0.74,0.0
ENSG00000132003,0.106,0.092,0.053,0.044,0.019,0.066,0.156,0.039,0.008,0.015,0.013,0.038,0.029,0.0
ENSG00000132185,0.012,0.0,0.012,0.003,0.96,0.002,0.001,0.003,0.7909999999999999,0.001,0.0,0.039,0.008,0.011
ENSG00000132334,0.447,0.8320000000000001,0.26,1.769,0.042,0.16899999999999998,0.202,1.7990000000000002,0.105,0.13699999999999998,0.117,0.128,0.211,2.254
ENSG00000132386,0.01,0.14800000000000002,9.11,0.509,0.026,0.011,0.016,0.32,0.012,0.015,0.037000000000000005,0.15,0.009000000000000001,0.552
ENSG00000132514,0.014,0.046,0.046,4.896,0.01,0.014,0.015,4.143,0.006,0.017,0.008,0.013,0.004,2.52
ENSG00000132561,0.022,0.772,0.812,0.006999999999999999,0.004,0.037000000000000005,0.016,0.012,0.001,0.004,0.0,0.23,0.011,0.015
ENSG00000132688,0.0,0.995,0.388,0.004,0.001,0.002,0.002,0.009000000000000001,0.0,0.0,0.0,0.025,0.0,0.003
ENSG00000133026,0.01,0.373,0.466,0.0,0.004,0.006,0.005,0.002,0.002,0.006,0.02,0.01,0.004,0.0
ENSG00000133048,0.0,0.006999999999999999,5.766,0.121,0.002,0.002,0.002,0.011,0.0,0.012,0.0,0.005,0.0,0.047
ENSG00000133110,0.0,1.137,2.108,0.003,0.002,0.001,0.002,0.003,0.002,0.003,0.0,0.02,0.003,0.022
ENSG00000133142,0.209,2.03,2.827,0.508,0.218,0.16699999999999998,0.211,0.363,0.235,0.141,0.177,0.231,0.198,0.0
ENSG00000133392,0.027000000000000003,0.059,1.412,0.008,0.043,0.035,0.034,0.025,0.028,0.066,0.064,0.086,0.017,0.0
ENSG00000133636,0.013,0.108,0.004,0.006,0.009000000000000001,0.001,0.003,0.011,0.011,0.784,0.0,0.07,0.013,0.0
ENSG00000133687,0.006999999999999999,1.041,0.282,0.008,0.002,0.003,0.002,0.002,0.0,0.003,0.0,0.005,0.001,0.003
ENSG00000133742,0.0,0.003,0.002,0.009000000000000001,0.001,0.002,0.002,0.002,0.0,0.0,0.0,0.196,0.003,0.023
ENSG00000133800,0.003,2.502,0.004,0.19,0.001,0.001,0.003,0.01,0.002,0.001,0.0,0.002,0.002,0.0
ENSG00000134028,0.019,0.141,89.32,0.6679999999999999,0.055,0.075,0.105,0.116,0.018000000000000002,0.037000000000000005,0.029,0.061,0.052000000000000005,0.5760000000000001
ENSG00000134121,0.004,0.005,0.8,0.001,0.026,0.002,0.001,0.002,0.049,0.002,0.012,0.054000000000000006,0.0,0.001
ENSG00000134193,0.034,0.012,0.003,0.03,0.018000000000000002,0.037000000000000005,0.071,0.013,0.022,0.044,0.235,1.732,0.029,0.045
ENSG00000134201,0.0,0.003,0.5579999999999999,0.004,0.001,0.001,0.001,0.001,0.0,0.002,0.0,0.005,0.0,0.0
ENSG00000134215,0.848,0.179,0.013,0.08,0.135,0.083,0.188,0.098,0.34,0.066,0.03,0.062,0.7120000000000001,0.0
ENSG00000134245,0.021,0.093,0.996,0.032,0.02,0.025,0.017,0.025,0.014,0.021,0.011,0.014,0.01,0.018000000000000002
ENSG00000134321,0.06,0.108,0.039,0.051,0.013,0.042,0.05,0.019,0.013,0.031,0.047,0.038,0.014,0.084
